,Recall,Frequency Cue E,Frequency Recall E,Frequency Cue I,Frequency Recall I,PS Frequency
0.0934095402511943,0.0934095402511943,2376.74,869.8275,1077.77,499.66499999999996,1.0375
0.1998391742007908,0.1998391742007908,2922.98,1215.2275,2120.71,961.3050000000001,1.8775
0.2984871308044,0.2984871308044,4138.7,1140.0375,2822.6400000000003,1322.8925,3.0725
0.3994300190440462,0.3994300190440462,4643.88,1598.5925,1770.58,815.56,4.4825
0.4989763154061665,0.4989763154061665,4453.0599999999995,1172.9575,2679.5299999999997,1252.3674999999998,4.84
0.5975870916838845,0.5975870916838845,4713.1,1330.6425,2536.0600000000004,1174.1725000000001,6.035
0.6982222804185458,0.6982222804185458,4089.51,1570.4575,2028.5500000000002,916.8199999999999,7.635
0.7999760665500274,0.7999760665500274,4524.88,1739.5749999999998,2346.57,1064.12,8.622499999999999
0.8995841064870893,0.8995841064870893,4548.33,1670.2125,2151.08,970.8025,9.5725
0.995752427186251,0.995752427186251,4879.87,1766.625,2205.13,998.64,9.7225
