,Recall,Frequency Cue E,Frequency Recall E,Frequency Cue I,Frequency Recall I,PS Frequency
0.0977249667785538,0.0977249667785538,16.262109375,3.9803320312499997,16.41984375,8.1616015625,0.845
0.1902566514109082,0.1902566514109082,18.908671875,7.10998046875,16.533437499999998,8.3839453125,1.26
0.2936135464658253,0.2936135464658253,22.008203125,6.7159765625,26.3278125,13.100078125,1.8824999999999998
0.3954284882241202,0.3954284882241202,26.539843750000003,6.43685546875,28.408749999999998,13.92609375,2.1025
0.4911063063651241,0.4911063063651241,32.751328125,9.62060546875,39.85859375,19.805117187500002,3.05
0.5978414955783372,0.5978414955783372,30.232187500000002,9.47544921875,38.196875000000006,19.079335937499998,3.8225000000000002
0.6942039129348118,0.6942039129348118,33.3565625,8.4599609375,45.15890625,22.266835937499998,4.11
0.7973437998490361,0.7973437998490361,22.334140625,7.939414062500001,28.5953125,14.4957421875,4.5875
0.8975684249560993,0.8975684249560993,34.780625,11.84734375,36.701875,18.488476562499997,5.52
0.9980787931802312,0.9980787931802312,34.6934375,11.40833984375,39.397968750000004,19.791562499999998,5.994999999999999
